,product_name,price,varietal,rating,rating_count,appellation,region,year
1858,Chateau Cote de Baleau ,24,Bordeaux Red Blends,0.0,0.0,[' Napa Valley'], California,2019
1859,Oakville Winegrowers Association Oakville Cuvee ,899,Cabernet Sauvignon,0.0,0.0,[' Rhone'], France,2015
1860,Delas Hermitage Les Bessards,244,Syrah/Shiraz,0.0,0.0,[' Burgundy'], France,2014
1861,Domaine Meo-Camuzet Vosne-Romanee Aux Brulees Premier Cru,704,Pinot Noir,0.0,0.0,['Napa Valley'], California,2017
1862,Opus One ,4599,Bordeaux Red Blends,0.0,0.0,[' Victoria'], Australia,2015
1863,Ocean Eight Verve Chardonnay,41,Chardonnay,0.0,0.0,[' Burgundy'], France,2015
1864,Emmanuel Rouget Echezeaux Grand Cru,599,Pinot Noir,0.0,0.0,[' Napa Valley'], California,2012
1865,Staglin Booth Bella Oaks Cabernet Sauvignon,199,Cabernet Sauvignon,0.0,0.0,[' Central Coast'], California,2015
1866,Precedent Evangelho Zinfandel,29,Zinfandel,3.1,6.0,[' Columbia Valley'], Washington,2017
1867,Horsepower Vineyards High Contrast Syrah,189,Syrah/Shiraz,0.0,0.0,[' Bordeaux'], France,2017
1868,Chateau Beausejour Duffau-Lagarrosse ,119,Bordeaux Red Blends,0.0,0.0,['Napa Valley'], California,2019
1869,David Arthur Three Acre Cabernet Sauvignon,154,Cabernet Sauvignon,0.0,0.0,[' Napa Valley'], California,2015
1870,Shafer Hillside Select Cabernet Sauvignon ,1499,Cabernet Sauvignon,0.0,0.0,[' Mendoza'], Argentina,2015
1871,Zuccardi Finca Los Membrillos,119,Cabernet Sauvignon,4.6,9.0,[' Sonoma County'], California,2013
1872,Cobb Wines Emmaline Ann Vineyard Pinot Noir,74,Pinot Noir,0.0,0.0,[' Columbia Valley'], Washington,2017
1873,Cayuse Armada Syrah,149,Syrah/Shiraz,0.0,0.0,[' Burgundy'], France,2017
1874,Joseph Drouhin Chambolle-Musigny Amoureuses Premier Cru,699,Pinot Noir,0.0,0.0,[' Napa Valley'], California,2018
1875,Lokoya Spring Mountain Cabernet Sauvignon,349,Cabernet Sauvignon,0.0,0.0,[' Sonoma County'], California,2011
1876,Maritana Vineyards Dutton Ranch Hansen Hill Chardonnay,89,Chardonnay,0.0,0.0,[' Napa Valley'], California,2017
1877,Lokoya Howell Mountain Cabernet Sauvignon,394,Cabernet Sauvignon,0.0,0.0,[' Burgundy'], France,2015
1878,Lucien Le Moine Corton Clos du Roi Grand Cru,199,Pinot Noir,0.0,0.0,['Central Coast'], California,2016
1880,Screaming Eagle Cabernet Sauvignon ,7999,Cabernet Sauvignon,0.0,0.0,[' Burgundy'], France,2014
