,product_name,price,varietal,origin,rating,rating_count
19339,Booker Vineyard Vertigo (1.5L Magnum) 2016,219,Rhone Red Blends,"Paso Robles, Central Coast, California",0.0,0
19340,Sloan Asterisk Proprietary Red Blend 2014,239,Bordeaux Red Blends,"Napa Valley, California",0.0,0
19341,Chateau Doisy Vedrines Sauternes 2015,39,Other Dessert,"Sauternes, Bordeaux, France",0.0,0
19342,Chateau Monbousquet (1.5 Liter Futures Pre-Sale) 2019,94,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",0.0,0
19343,Chateau D'Arsac (Futures Pre-Sale) 2019,19,Bordeaux Red Blends,"Margaux, Bordeaux, France",0.0,0
19344,Bevan Cellars Sugarloaf Mountain 2015,259,Bordeaux Red Blends,"Napa Valley, California",0.0,0
19345,Alto Moncayo Aquilon 2006,149,Grenache,Spain,0.0,0
19346,Martinelli Jackass Vineyard Zinfandel 2008,129,Zinfandel,"Russian River, Sonoma County, California",0.0,0
19347,Falesco Montiano (1.5 Liter Magnum) 1999,109,Merlot,"Lazio, Italy",0.0,0
19348,David Arthur Estate Cabernet Sauvignon 2007,149,Cabernet Sauvignon,"Napa Valley, California",0.0,0
19349,Migration Sonoma Coast Pinot Noir (375ML half-bottle) 2016,23,Pinot Noir,"Sonoma Coast, Sonoma County, California",0.0,0
19350,Paul Hobbs Ulises Valdez Vineyard Chardonnay 2005,109,Chardonnay,"Russian River, Sonoma County, California",0.0,0
19351,Valdicava Brunello di Montalcino 2012,110,Sangiovese,"Montalcino, Tuscany, Italy",4.3,15
19352,Rhys Vineyards Horseshoe Vineyard Pinot Noir 2013,149,Pinot Noir,"Santa Cruz Mountains, California",0.0,0
19353,Viberti La Volta Barolo Riserva 2011,120,Nebbiolo,"Barolo, Piedmont, Italy",0.0,0
19354,Jean-Claude Bessin Chablis Grand Cru Valmur 2017,79,Chardonnay,"Chablis, Burgundy, France",0.0,0
19355,Robert Mondavi Reserve To Kalon Vineyard Fume Blanc 2014,64,Sauvignon Blanc,"Oakville, Napa Valley, California",4.1,9
19356,Bruno Giacosa Barolo Falletto 2008,250,Nebbiolo,"Barolo, Piedmont, Italy",0.0,0
19357,Booker Vineyard My Favorite Neighbor 2011,109,Other Red Blends,"Paso Robles, Central Coast, California",0.0,0
19358,Francois Lamarche Grands Echezeaux Grand Cru 2017,389,Pinot Noir,"Flagey-Echezeaux, Cote de Nuits, Cote d'Or, Burgundy, France",0.0,0
19359,Kongsgaard Syrah 2008,149,Syrah/Shiraz,"Napa Valley, California",0.0,0
19360,William Fevre Chablis Bougros Cote Bouguerots Grand Cru 2016,120,Chardonnay,"Chablis, Burgundy, France",0.0,0
19361,Adobe Road Beckstoffer Georges III Cabernet Sauvignon 2008,109,Cabernet Sauvignon,"Napa Valley, California",0.0,0
19362,Tenuta San Guido Sassicaia (375ML half-bottle) 2014,115,Bordeaux Red Blends,"Bolgheri, Tuscany, Italy",0.0,0
19363,Dom Perignon Limited Edition Gift Box by Michael Riedel 2006,200,Vintage Sparkling Wine,"Champagne, France",4.6,7
19364,Vine Hill VHR Cabernet Sauvignon 2010,219,Cabernet Sauvignon,"Napa Valley, California",0.0,0
19365,Olivier Bernstein Gevrey-Chambertin Les Champeaux Premier Cru 2014,179,Pinot Noir,"Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France",0.0,0
19366,DuMOL Ryan Pinot Noir 2015,105,Pinot Noir,"Russian River, Sonoma County, California",0.0,0
19367,M. Chapoutier Hermitage Monier de la Sizeranne 1998,109,Syrah/Shiraz,"Hermitage, Rhone, France",0.0,0
19368,Robert Foley Vineyards Claret (1.5 Liter Magnum) 2004,199,Bordeaux Red Blends,"Napa Valley, California",0.0,0
19369,Amici Morisoli Vineyard Cabernet Sauvignon 2017,179,Cabernet Sauvignon,"Rutherford, Napa Valley, California",0.0,0
19370,Il Borro Il Borro 2012,44,Bordeaux Red Blends,"Tuscany, Italy",0.0,0
19371,Nickel & Nickel Hayne Cabernet Sauvignon 2015,120,Cabernet Sauvignon,"St. Helena, Napa Valley, California",4.4,7
19372,Bodegas Muga Gran Reserva Prado Enea (1.5 Liter Magnum) 2010,179,Tempranillo,"Rioja, Spain",0.0,0
19373,Chateau Montrose (3 Liter Bottle) 2010,"1,499",Bordeaux Red Blends,"St. Estephe, Bordeaux, France",0.0,0
19374,Bond St. Eden 2014,649,Bordeaux Red Blends,"Napa Valley, California",0.0,0
19375,Hickinbotham The Peake Cabernet-Shiraz 2015,165,Other Red Blends,"McLaren Vale, South Australia, Australia",0.0,0
19376,Roger Sabon Chateauneuf-du-Pape Les Secret des Sabon 2017,179,Rhone Red Blends,"Chateauneuf-du-Pape, Rhone, France",0.0,0
19377,Sine Qua Non Jinete Bajo Vin de Paille Roussanne (375ML half-bottle) 2008,169,Roussanne,"Sta. Rita Hills, Santa Barbara, Central Coast, California",0.0,0
19378,Krug Clos du Mesnil Blanc de Blancs 1995,750,Vintage Sparkling Wine,"Champagne, France",0.0,0
19379,Merus Cabernet Sauvignon 2016,179,Cabernet Sauvignon,"Coombsville, Napa Valley, California",0.0,0
19380,Gerard Bertrand Clos d'Ora Rouge 2015,300,Rhone Red Blends,"Minervois La Liviniere, Minervois, Languedoc, South of France, France",5.0,9
19381,CVNE Imperial Reserva Rioja (1.5 Liter Magnum) 2015,88,Tempranillo,"Rioja, Spain",0.0,0
19382,Trinity Hill Homage Syrah 2016,79,Syrah/Shiraz,"Hawkes Bay, New Zealand",0.0,0
19383,Fontodi Syrah Case Via 2013,59,Syrah/Shiraz,"Tuscany, Italy",3.8,8
19384,Chateau de Beaucastel Chateauneuf-du-Pape (1.5 Liter Magnum) 2014,149,Rhone Red Blends,"Chateauneuf-du-Pape, Rhone, France",0.0,0
19385,Felsina Fontalloro (1.5 Liter Magnum) 2012,104,Sangiovese,"Tuscany, Italy",0.0,0
19386,Peay Vineyards Sonoma Coast La Bruma Syrah (1.5L Magnum) 2006,109,Syrah/Shiraz,"Sonoma Coast, Sonoma County, California",0.0,0
19387,Poggio Antico Brunello di Montalcino Riserva 1997,129,Sangiovese,"Montalcino, Tuscany, Italy",0.0,0
19388,Chateau de Saint Cosme Gigondas 2017,60,Rhone Red Blends,"Gigondas, Rhone, France",3.9,5
19389,Domaine Joseph Roty Charmes-Chambertin Grand Cru Tres Vieilles Vignes 2017,479,Pinot Noir,"Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France",0.0,0
19390,Beaux Freres The Upper Terrace Pinot Noir 2012,99,Pinot Noir,"Ribbon Ridge, Willamette Valley, Oregon",0.0,0
19391,Continuum 2013,195,Bordeaux Red Blends,"Napa Valley, California",0.0,0
19392,Santadi Terre Brune Carignano del Sulcis Superiore 2015,79,Carignan,"Sardinia, Italy",0.0,0
19393,Louis Jadot Beaune Premier Cru 150th Anniversary 2009,54,Pinot Noir,"Beaune, Cote de Beaune, Cote d'Or, Burgundy, France",0.0,0
19394,Louis Jadot Vosne Romanee Les Suchots Premier Cru 2010,145,Pinot Noir,"Burgundy, France",0.0,0
19395,Nickel & Nickel Quarry Vineyard Cabernet Sauvignon 2008,99,Cabernet Sauvignon,"Rutherford, Napa Valley, California",0.0,0
19396,Guigal La Doriane Condrieu 2010,140,Viognier,"Condrieu, Rhone, France",0.0,0
19397,Garretson Syrah Hoage Vineyard The Bulladoir 2004,58,Syrah/Shiraz,"Central Coast, California",0.0,0
19398,Chateau Guiraud Sauternes 2008,89,Other Dessert,"Sauternes, Bordeaux, France",0.0,0
19399,Vincent Girardin Puligny-Montrachet Les Combettes Premier Cru 2016,139,Chardonnay,"Puligny-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",0.0,0
19400,Gerard Bertrand Clos d'Ora Rouge 2016,300,Rhone Red Blends,"Minervois La Liviniere, Minervois, Languedoc, South of France, France",0.0,0
19401,Vietti Barolo Rocche di Castiglione 2000,189,Nebbiolo,"Barolo, Piedmont, Italy",0.0,0
19402,Jean Faure (Futures Pre-Sale) 2019,33,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",0.0,0
19403,David Arthur Three Acre Cabernet Sauvignon 2013,129,Cabernet Sauvignon,"Napa Valley, California",0.0,0
19404,Chateau d'Yquem Sauternes (375ML half-bottle) 1989,199,Other Dessert,"Sauternes, Bordeaux, France",0.0,0
19405,Woodward Canyon Old Vines Cabernet Sauvignon 2008,79,Cabernet Sauvignon,"Columbia Valley, Washington",0.0,0
19406,Joseph Drouhin Meursault Perrieres Premier Cru 2016,119,Chardonnay,"Meursault, Cote de Beaune, Cote d'Or, Burgundy, France",0.0,0
19407,L'Ecole 41 Pepper Bridge Vineyard Apogee 2014,53,Bordeaux Red Blends,"Walla Walla Valley, Columbia Valley, Washington",4.4,8
19408,Clos Saint-Jean La Combe des Fous Chateauneuf-du-Pape 2010,99,Rhone Red Blends,"Chateauneuf-du-Pape, Rhone, France",0.0,0
19409,Next of Kyn Touriga Nacional Cumulus Vineyard Número Um 2015,359,Other Red Blends,"Central Coast, California",0.0,0
19410,Horsepower Vineyards Sur Echalas Vineyard Grenache 2016,164,Grenache,"Walla Walla Valley, Columbia Valley, Washington",0.0,0
19411,Sylvain Cathiard Nuits-Saint-Georges Aux Thorey Premier Cru 2018,249,Pinot Noir,"Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France",0.0,0
19412,Brand Brio 2012,129,Bordeaux Red Blends,"Napa Valley, California",0.0,0
19413,Veuve Clicquot La Grande Dame with Gift Box 2006,169,Vintage Sparkling Wine,"Champagne, France",0.0,0
19414,Revana Cabernet Sauvignon 2015,158,Cabernet Sauvignon,"St. Helena, Napa Valley, California",0.0,0
19415,Domaine Faiveley Chambertin Clos de Beze Grand Cru 2008,309,Pinot Noir,"Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France",0.0,0
19416,Mastrojanni Vigna Schiena d'Asino Brunello di Montalcino 2010,159,Sangiovese,"Montalcino, Tuscany, Italy",0.0,0
19417,Alto Moncayo Aquilon 2015,139,Grenache,Spain,0.0,0
19418,Chateau Grand-Puy-Lacoste (1.5 Liter Futures Pre-Sale) 2019,134,Bordeaux Red Blends,"Pauillac, Bordeaux, France",0.0,0
19419,Torbreck Les Amis 2017,165,Grenache,"Barossa Valley, Barossa, South Australia, Australia",0.0,0
19420,Torbreck Les Amis (1.5 Liter Magnum) 2004,359,Grenache,"Barossa Valley, Barossa, South Australia, Australia",0.0,0
19421,Spottswoode Sauvignon Blanc 2014,37,Sauvignon Blanc,California,0.0,0
19422,Jarvis Estate Grown Cabernet Sauvignon 2012,160,Cabernet Sauvignon,"Napa Valley, California",0.0,0
